Features,Genre,Score,Popularity
Energy,Jazz,0.485781406,Unpopular
Instrumentalness,Jazz,0.412750771,Unpopular
Liveness,Jazz,0.177076351,Unpopular
Speechiness,Jazz,0.070980205,Unpopular
Valence,Jazz,0.519177377,Unpopular
Acousticness,Movie,0.696101147,Unpopular
Danceability,Movie,0.493734576,Unpopular
Energy,Movie,0.372753424,Unpopular
Instrumentalness,Movie,0.124970894,Unpopular
Liveness,Movie,0.230464379,Unpopular
Speechiness,Movie,0.110897466,Unpopular
Valence,Movie,0.451256093,Unpopular
Acousticness,Opera,0.945339959,Unpopular
Danceability,Opera,0.290772406,Unpopular
Energy,Opera,0.16867902,Unpopular
Instrumentalness,Opera,0.230828146,Unpopular
Liveness,Opera,0.223752823,Unpopular
Speechiness,Opera,0.059827033,Unpopular
Valence,Opera,0.189750835,Unpopular
Acousticness,Pop,0.1357282,Unpopular
Danceability,Pop,0.670266667,Unpopular
Energy,Pop,0.779033333,Unpopular
Instrumentalness,Pop,0.020996532,Unpopular
Liveness,Pop,0.175533333,Unpopular
Speechiness,Pop,0.090643333,Unpopular
Valence,Pop,0.473166667,Unpopular
Acousticness,R&B,0.33720544,Unpopular
Danceability,R&B,0.615378378,Unpopular
Energy,R&B,0.537748069,Unpopular
Instrumentalness,R&B,0.035803929,Unpopular
Liveness,R&B,0.182178958,Unpopular
Speechiness,R&B,0.129970656,Unpopular
Valence,R&B,0.411410039,Unpopular
Acousticness,Rap,0.174215556,Unpopular
Danceability,Rap,0.668925926,Unpopular
Energy,Rap,0.616888889,Unpopular
Instrumentalness,Rap,0.005298224,Unpopular
Liveness,Rap,0.247059259,Unpopular
Speechiness,Rap,0.17462963,Unpopular
Valence,Rap,0.49162963,Unpopular
Acousticness,Reggae,0.185091852,Unpopular
Danceability,Reggae,0.695416788,Unpopular
Energy,Reggae,0.635360246,Unpopular
Instrumentalness,Reggae,0.04663626,Unpopular
Liveness,Reggae,0.196022946,Unpopular
Speechiness,Reggae,0.117340188,Unpopular
Valence,Reggae,0.677778853,Unpopular
Acousticness,Reggaeton,0.217364474,Unpopular
Danceability,Reggaeton,0.725636348,Unpopular
Energy,Reggaeton,0.754577988,Unpopular
Instrumentalness,Reggaeton,0.003828197,Unpopular
Liveness,Reggaeton,0.215674501,Unpopular
Speechiness,Reggaeton,0.129209692,Unpopular
Valence,Reggaeton,0.669953137,Unpopular
Acousticness,Rock,0.200491333,Unpopular
Danceability,Rock,0.5339,Unpopular
Energy,Rock,0.684316667,Unpopular
Instrumentalness,Rock,0.011446477,Unpopular
Liveness,Rock,0.194731667,Unpopular
Speechiness,Rock,0.040485,Unpopular
Valence,Rock,0.50055,Unpopular
Acousticness,Ska,0.097853702,Unpopular
Danceability,Ska,0.51747943,Unpopular
Energy,Ska,0.821831356,Unpopular
